# @PLN154 phase 0 evidence — tests/scripts/ under LOFT_STACK_CENSUS, 200000 ops/program, --interpret.
# file<TAB>ops<TAB>put_stack bytes<TAB>other-route bytes.  0/0/0 = the program produced no census.
tests/scripts/01-integers.loft	1002	1298	986
tests/scripts/02-floats.loft	1259	2443	1352
tests/scripts/03-text.loft	6878	8587	5910
tests/scripts/04-booleans.loft	304	185	260
tests/scripts/05-enums.loft	1189	1683	1502
tests/scripts/06-structs.loft	1768	2668	2161
tests/scripts/07-control-flow.loft	3353	3056	1436
tests/scripts/08-functions.loft	3512	3250	1926
tests/scripts/09-lambdas.loft	1905	2852	1388
tests/scripts/1000-value-struct-vector-builtins.loft	2538	3682	1775
tests/scripts/1001-any-all-count-if-closure-predicate.loft	2122	3136	1459
tests/scripts/1003-diagnostic-codes-and-fixes.loft	143	155	286
tests/scripts/1004-tuple-text-element-write.loft	743	932	1589
tests/scripts/1005-tuple-text-parameter.loft	321	341	709
tests/scripts/1006-reference-tuple-element-types.loft	383	425	499
tests/scripts/1009-width-type-bounds.loft	671	966	1068
tests/scripts/100-enhancements.loft	2989	3895	1769
tests/scripts/100-p274-tail-return-with-cleanup.loft	124	168	129
tests/scripts/1010-test-runner-discovery.loft	100	61	61
tests/scripts/1011-tooling-contracts.loft	6843	8975	4769
tests/scripts/1013-coalesce-call-default-owner.loft	475	725	285
tests/scripts/1014-omitted-character-null-default.loft	154	131	122
tests/scripts/1015-omitted-null-default-argument.loft	207	222	239
tests/scripts/1016-generic-null-default-instantiation.loft	1373	1690	1010
tests/scripts/1017b-a-conditional-borrow-into-its-own-binding.loft	880	819	551
tests/scripts/1017-method-borrow-return-copy-or-adopt.loft	2860	3488	1308
tests/scripts/1019-join-owned-arm-owner.loft	1050	1474	813
tests/scripts/101-enhancement-errors.loft	0	0	0
tests/scripts/1020-generic-null-comparison.loft	892	1029	769
tests/scripts/1021-null-argument-covers-the-witness-set.loft	547	481	333
tests/scripts/1022-mixed-ownership-return-buffer.loft	2401	2657	1512
tests/scripts/1023-generic-declared-after-its-caller.loft	545	617	369
tests/scripts/1024-generic-collection-instantiation-order.loft	702	806	599
tests/scripts/1025-nested-generic-argument-type.loft	511	685	420
tests/scripts/1026-generic-discharged-null-return.loft	1572	1617	2801
tests/scripts/1028-generic-null-typed-per-monomorph.loft	1319	1598	1692
tests/scripts/1029-inline-argument-borrow-source.loft	3946	5482	3161
tests/scripts/102b-pass1-expected-errors.loft	0	0	0
tests/scripts/102-escape-sequences.loft	159	141	199
tests/scripts/102-expected-errors.loft	0	0	0
tests/scripts/1030-compound-range-both-spellings.loft	737	979	941
tests/scripts/1032-generic-iterator-return.loft	3053	4529	2953
tests/scripts/1033-a-par-worker-gets-the-right-nested-vector.loft	2048	1838	1039
tests/scripts/1033-generic-par-worker.loft	874	786	523
tests/scripts/1034-declared-nullable-tuple-element.loft	463	558	953
tests/scripts/1035-generator-nullable-text-parameter.loft	372	592	802
tests/scripts/1036-limit-vector-element-width.loft	902	1218	703
tests/scripts/1038-nullable-text-tuple-element.loft	209	279	351
tests/scripts/1039-qualified-enum-variant-value.loft	76	73	116
tests/scripts/103-arguments.loft	57	54	98
tests/scripts/1040-generic-par-worker-in-generic-fn.loft	1150	1211	788
tests/scripts/1044-par-element-view-borrows-its-vector.loft	1295	1244	860
tests/scripts/104-split-text.loft	2570	3930	1437
tests/scripts/1051-tuple-destructure-ownership.loft	88682	92624	27260
tests/scripts/1054-parallel-block-arms-run.loft	460	510	390
tests/scripts/105-starts-with-at.loft	796	1462	708
tests/scripts/1062-self-append-reallocation.loft	17862	23434	5806
tests/scripts/1064-load-keys-text.loft	55	23	60
tests/scripts/1065-nullable-struct-enum.loft	982	1056	920
tests/scripts/1066-monomorph-owned-return.loft	1145	2162	1540
tests/scripts/1067b-lambda-no-expected-type-refused.loft	0	0	0
tests/scripts/1067-lambda-expected-type.loft	930	1219	1270
tests/scripts/1069-fn-ref-in-a-tuple.loft	589	791	896
tests/scripts/1070-generic-arm-local-type-row.loft	1051	1694	1229
tests/scripts/1074-combinators-over-tuple-elements.loft	3627	6314	3403
tests/scripts/1078-join-arms-that-each-own-a-store.loft	17367	15306	8587
tests/scripts/107-sort-vector-text.loft	684	1117	782
tests/scripts/1081-a-join-bound-to-a-returned-local.loft	7962	9568	4324
tests/scripts/1082-a-re-minted-work-ref-is-not-the-one-substituted-away.loft	5020	6344	2791
